po_id,product_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered
52,7,4.0,2024-11-04,2024-12-04,2024-12-04,60
54,8,14.0,2024-03-25,2024-04-15,2024-04-23,6
55,8,14.0,2024-05-20,2024-06-10,2024-06-10,6
56,8,14.0,2024-09-23,2024-10-14,2024-10-14,6
57,8,14.0,2024-11-25,2024-12-16,2024-12-16,6
58,9,4.0,2024-01-22,2024-02-21,2024-02-21,12
59,9,4.0,2024-04-01,2024-05-01,2024-05-01,12
60,9,4.0,2024-05-27,2024-06-26,2024-06-26,12
61,9,4.0,2024-07-22,2024-08-21,2024-08-21,12
62,9,4.0,2024-09-16,2024-10-16,2024-10-16,12
63,9,4.0,2024-11-11,2024-12-11,2024-12-11,12
64,10,9.0,2024-01-22,2024-02-21,2024-02-21,264
65,10,9.0,2024-03-11,2024-04-10,2024-04-10,264
66,10,9.0,2024-04-29,2024-05-29,2024-06-06,264
67,10,9.0,2024-06-24,2024-07-24,2024-07-24,264
68,10,9.0,2024-08-19,2024-09-18,2024-09-18,264
69,10,9.0,2024-10-14,2024-11-13,2024-11-13,264
71,11,4.0,2024-01-15,2024-02-14,2024-02-14,144
72,11,4.0,2024-03-04,2024-04-03,2024-04-15,144
73,11,4.0,2024-05-06,2024-06-05,2024-06-05,144
74,11,4.0,2024-06-24,2024-07-24,2024-07-24,144
75,11,4.0,2024-08-12,2024-09-11,2024-09-11,144
76,11,4.0,2024-10-07,2024-11-06,2024-11-06,144
78,12,14.0,2024-02-05,2024-02-26,2024-03-05,6
79,12,14.0,2024-04-15,2024-05-06,2024-05-06,6
80,12,14.0,2024-07-15,2024-08-05,2024-08-05,6
81,12,,2024-10-14,2024-11-04,2024-11-17,6
82,13,12.0,2024-01-22,2024-02-21,2024-02-21,48
83,13,12.0,2024-03-04,2024-04-03,2024-04-03,48
84,13,12.0,2024-04-22,2024-05-22,2024-05-22,48
85,13,,2024-06-10,2024-07-10,2024-07-10,48
86,13,12.0,2024-08-05,2024-09-04,2024-09-04,48
87,13,12.0,2024-09-23,2024-10-23,2024-10-23,48
88,13,12.0,2024-11-18,2024-12-18,2024-12-18,48
89,14,9.0,2024-01-22,2024-02-21,2024-02-21,60
90,14,9.0,2024-03-11,2024-04-10,2024-04-10,60
91,14,9.0,2024-04-29,2024-05-29,2024-05-29,60
92,14,9.0,2024-06-17,2024-07-17,2024-07-17,60
93,14,9.0,2024-08-05,2024-09-04,2024-09-08,60
94,14,,2024-10-07,2024-11-06,2024-11-06,60
96,15,11.0,2024-01-15,2024-01-25,2024-01-25,216
97,15,11.0,2024-02-19,2024-02-29,2024-03-11,216
98,15,,2024-04-01,2024-04-11,2024-04-15,216
99,15,11.0,2024-05-13,2024-05-23,2024-05-29,216
100,15,11.0,2024-07-01,2024-07-11,2024-07-11,216
101,15,11.0,2024-08-05,2024-08-15,2024-08-15,216
102,15,11.0,2024-09-16,2024-09-26,2024-09-26,216
103,15,11.0,2024-11-04,2024-11-14,2024-11-14,216
105,16,7.0,2024-01-15,2024-01-22,2024-01-22,96
106,16,7.0,2024-02-26,2024-03-04,2024-03-11,96
107,16,7.0,2024-04-01,2024-04-08,2024-04-18,96
108,16,7.0,2024-05-20,2024-05-27,2024-05-27,96
109,16,7.0,2024-07-01,2024-07-08,2024-07-22,96
110,16,7.0,2024-08-12,2024-08-19,2024-08-30,96
111,16,7.0,2024-09-30,2024-10-07,2024-10-17,96
112,16,7.0,2024-11-18,2024-11-25,2024-11-25,96
113,17,3.0,2024-01-15,2024-01-25,2024-01-25,66
114,17,3.0,2024-02-26,2024-03-07,2024-03-19,66
115,17,3.0,2024-04-08,2024-04-18,2024-04-18,66
116,17,3.0,2024-05-27,2024-06-06,2024-06-06,66
117,17,3.0,2024-07-08,2024-07-18,2024-07-18,66
118,17,3.0,2024-08-12,2024-08-22,2024-08-22,66
119,17,3.0,2024-09-16,2024-09-26,2024-09-26,66
120,17,3.0,2024-10-21,2024-10-31,2024-11-11,66
121,17,3.0,2024-12-09,2024-12-19,2024-12-19,66
122,18,6.0,2024-01-22,2024-01-29,2024-02-02,18
123,18,6.0,2024-03-11,2024-03-18,2024-03-22,18
124,18,6.0,2024-04-29,2024-05-06,2024-05-19,18
125,18,6.0,2024-07-01,2024-07-08,2024-07-17,18
126,18,6.0,2024-08-26,2024-09-02,2024-09-02,18
127,18,6.0,2024-10-21,2024-10-28,2024-11-03,18
128,18,6.0,2024-12-02,2024-12-09,2024-12-12,18
129,19,11.0,2024-01-15,2024-01-25,2024-02-03,132
130,19,11.0,2024-03-04,2024-03-14,2024-03-26,132
131,19,11.0,2024-04-15,2024-04-25,2024-05-02,132
132,19,11.0,2024-05-27,2024-06-06,2024-06-06,132
133,19,11.0,2024-07-08,2024-07-18,2024-07-24,132
134,19,11.0,2024-08-12,2024-08-22,2024-08-22,132
135,19,11.0,2024-09-23,2024-10-03,2024-10-03,132
136,19,11.0,2024-11-04,2024-11-14,2024-11-24,132
137,19,11.0,2024-12-16,2024-12-26,2024-12-26,132
138,20,15.0,2024-01-15,2024-01-29,2024-02-02,198
139,20,15.0,2024-03-04,2024-03-18,2024-03-18,198
140,20,15.0,2024-04-15,2024-04-29,2024-05-11,198
141,20,15.0,2024-06-03,2024-06-17,2024-06-21,198
142,20,15.0,2024-07-15,2024-07-29,2024-07-29,198
143,20,15.0,2024-08-26,2024-09-09,2024-09-09,198
144,20,15.0,2024-10-14,2024-10-28,2024-10-28,198
145,20,15.0,2024-11-25,2024-12-09,2024-12-09,198
146,21,6.0,2024-01-15,2024-01-22,2024-01-22,228
147,21,6.0,2024-02-26,2024-03-04,2024-03-04,228
148,21,6.0,2024-04-08,2024-04-15,2024-04-15,228
149,21,6.0,2024-05-13,2024-05-20,2024-05-20,228
150,21,6.0,2024-06-24,2024-07-01,2024-07-01,228
151,21,6.0,2024-08-05,2024-08-12,2024-08-12,228
152,21,6.0,2024-09-09,2024-09-16,2024-09-29,228
153,21,6.0,2024-11-04,2024-11-11,2024-11-11,228
155,22,9.0,2024-01-22,2024-02-21,2024-02-21,18
156,22,9.0,2024-03-18,2024-04-17,2024-04-17,18
157,22,9.0,2024-05-13,2024-06-12,2024-06-17,18
158,22,9.0,2024-07-22,2024-08-21,2024-08-21,18
159,22,9.0,2024-09-16,2024-10-16,2024-10-30,18
161,23,3.0,2024-01-15,2024-01-25,2024-01-25,30
162,23,3.0,2024-03-04,2024-03-14,2024-03-14,30
163,23,3.0,2024-04-22,2024-05-02,2024-05-02,30
164,23,3.0,2024-06-03,2024-06-13,2024-06-13,30
165,23,3.0,2024-08-05,2024-08-15,2024-08-15,30
166,23,3.0,2024-09-30,2024-10-10,2024-10-10,30
167,23,3.0,2024-11-25,2024-12-05,2024-12-05,30
168,24,7.0,2024-01-15,2024-01-22,2024-01-25,24
169,24,7.0,2024-03-04,2024-03-11,2024-03-11,24
170,24,7.0,2024-04-29,2024-05-06,2024-05-06,24
171,24,7.0,2024-06-24,2024-07-01,2024-07-01,24
172,24,7.0,2024-08-19,2024-08-26,2024-08-26,24
173,24,7.0,2024-09-30,2024-10-07,2024-10-20,24
174,24,7.0,2024-11-11,2024-11-18,2024-11-23,24
175,25,3.0,2024-01-22,2024-02-01,2024-02-01,36
176,25,3.0,2024-03-04,2024-03-14,2024-03-14,36
177,25,3.0,2024-04-22,2024-05-02,2024-05-02,36
178,25,3.0,2024-05-27,2024-06-06,2024-06-06,36
179,25,3.0,2024-07-08,2024-07-18,2024-07-18,36
180,25,3.0,2024-09-02,2024-09-12,2024-09-17,36
181,25,3.0,2024-10-21,2024-10-31,2024-10-31,36
182,25,3.0,2024-11-25,2024-12-05,2024-12-17,36
183,26,15.0,2024-01-15,2024-01-29,2024-01-29,66
184,26,15.0,2024-02-26,2024-03-11,2024-03-11,66
185,26,15.0,2024-04-01,2024-04-15,2024-04-15,66
186,26,15.0,2024-05-13,2024-05-27,2024-05-27,66
187,26,15.0,2024-07-01,2024-07-15,2024-07-18,66
188,26,15.0,2024-08-05,2024-08-19,2024-08-25,66
189,26,15.0,2024-09-30,2024-10-14,2024-10-27,66
190,26,15.0,2024-11-18,2024-12-02,2024-12-02,66
191,27,4.0,2024-01-08,2024-02-07,2024-02-16,144
192,27,4.0,2024-03-11,2024-04-10,2024-04-24,144
193,27,4.0,2024-05-20,2024-06-19,2024-06-19,144
194,27,4.0,2024-07-08,2024-08-07,2024-08-12,144
195,27,4.0,2024-09-09,2024-10-09,2024-10-14,144
196,27,4.0,2024-11-04,2024-12-04,2024-12-07,144
197,28,2.0,2024-01-15,2024-01-25,2024-01-25,390
198,28,2.0,2024-03-04,2024-03-14,2024-03-14,390
199,28,2.0,2024-04-15,2024-04-25,2024-04-25,390
200,28,2.0,2024-06-03,2024-06-13,2024-06-13,390
201,28,2.0,2024-07-22,2024-08-01,2024-08-01,390
202,28,2.0,2024-08-26,2024-09-05,2024-09-05,390
203,28,2.0,2024-10-07,2024-10-17,2024-10-17,390
204,28,2.0,2024-11-11,2024-11-21,2024-11-21,390
206,29,4.0,2024-01-15,2024-02-14,2024-02-14,18
207,29,4.0,2024-03-18,2024-04-17,2024-04-17,18
208,29,4.0,2024-05-13,2024-06-12,2024-06-12,18
209,29,4.0,2024-07-08,2024-08-07,2024-08-07,18
210,29,4.0,2024-08-26,2024-09-25,2024-10-03,18
211,29,4.0,2024-10-21,2024-11-20,2024-11-20,18
213,30,3.0,2024-01-15,2024-01-25,2024-01-25,150
214,30,3.0,2024-02-26,2024-03-07,2024-03-07,150
215,30,3.0,2024-04-08,2024-04-18,2024-04-18,150
216,30,3.0,2024-05-13,2024-05-23,2024-05-23,150
217,30,3.0,2024-06-24,2024-07-04,2024-07-04,150
218,30,3.0,2024-08-12,2024-08-22,2024-08-22,150
219,30,3.0,2024-09-30,2024-10-10,2024-10-10,150
220,30,3.0,2024-11-04,2024-11-14,2024-11-14,150
222,31,12.0,2024-01-08,2024-02-07,2024-02-07,114
223,31,,2024-02-26,2024-03-27,2024-03-27,114
224,31,12.0,2024-04-29,2024-05-29,2024-05-29,114
225,31,12.0,2024-06-24,2024-07-24,2024-07-24,114
226,31,12.0,2024-08-12,2024-09-11,2024-09-11,114
227,31,12.0,2024-10-07,2024-11-06,2024-11-06,114
229,32,11.0,2024-01-15,2024-01-25,2024-01-25,6
230,32,11.0,2024-03-18,2024-03-28,2024-03-28,6
231,32,11.0,2024-06-03,2024-06-13,2024-06-21,6
232,32,11.0,2024-09-30,2024-10-10,2024-10-10,6
234,33,6.0,2024-02-26,2024-03-04,2024-03-04,6
235,33,6.0,2024-06-03,2024-06-10,2024-06-17,6
236,33,6.0,2024-07-29,2024-08-05,2024-08-05,6
237,33,6.0,2024-10-14,2024-10-21,2024-10-21,6
239,34,10.0,2024-01-22,2024-02-21,2024-02-21,84
240,34,10.0,2024-03-18,2024-04-17,2024-04-17,84
241,34,10.0,2024-05-06,2024-06-05,2024-06-19,84
242,34,10.0,2024-07-15,2024-08-14,2024-08-14,84
243,34,10.0,2024-09-09,2024-10-09,2024-10-09,84
244,34,10.0,2024-11-04,2024-12-04,2024-12-04,84
245,35,15.0,2024-01-15,2024-01-29,2024-02-06,6
246,35,15.0,2024-04-29,2024-05-13,2024-05-26,6
247,35,15.0,2024-07-22,2024-08-05,2024-08-19,6
248,35,15.0,2024-10-14,2024-10-28,2024-11-08,6
250,36,2.0,2024-01-15,2024-01-25,2024-01-25,30
251,36,2.0,2024-03-04,2024-03-14,2024-03-14,30
252,36,2.0,2024-04-15,2024-04-25,2024-04-25,30
253,36,2.0,2024-06-17,2024-06-27,2024-06-27,30
254,36,2.0,2024-07-29,2024-08-08,2024-08-08,30
255,36,2.0,2024-09-16,2024-09-26,2024-10-09,30
256,36,2.0,2024-11-04,2024-11-14,2024-11-14,30
258,37,15.0,2024-01-15,2024-01-29,2024-01-29,90
259,37,15.0,2024-02-26,2024-03-11,2024-03-11,90
260,37,15.0,2024-04-01,2024-04-15,2024-04-22,90
261,37,15.0,2024-05-27,2024-06-10,2024-06-10,90
262,37,15.0,2024-07-08,2024-07-22,2024-07-22,90
263,37,15.0,2024-08-19,2024-09-02,2024-09-02,90
264,37,15.0,2024-09-23,2024-10-07,2024-10-17,90
265,37,15.0,2024-11-11,2024-11-25,2024-11-25,90
267,38,5.0,2024-01-22,2024-02-21,2024-02-21,54
268,38,5.0,2024-03-18,2024-04-17,2024-05-01,54
269,38,5.0,2024-05-20,2024-06-19,2024-06-19,54
270,38,5.0,2024-07-22,2024-08-21,2024-08-21,54
271,38,5.0,2024-09-23,2024-10-23,2024-10-23,54
272,38,5.0,2024-11-11,2024-12-11,2024-12-19,54
273,39,7.0,2024-01-15,2024-01-22,2024-01-22,108
274,39,7.0,2024-03-11,2024-03-18,2024-03-24,108
275,39,7.0,2024-04-15,2024-04-22,2024-04-28,108
276,39,7.0,2024-06-03,2024-06-10,2024-06-15,108
277,39,7.0,2024-07-15,2024-07-22,2024-07-22,108
278,39,7.0,2024-09-02,2024-09-09,2024-09-09,108
279,39,7.0,2024-10-14,2024-10-21,2024-10-21,108
280,39,7.0,2024-11-25,2024-12-02,2024-12-06,108
281,40,9.0,2024-01-15,2024-02-14,2024-02-14,72
282,40,9.0,2024-03-04,2024-04-03,2024-04-15,72
283,40,9.0,2024-05-06,2024-06-05,2024-06-05,72
284,40,9.0,2024-06-24,2024-07-24,2024-07-24,72
285,40,9.0,2024-08-12,2024-09-11,2024-09-11,72
286,40,9.0,2024-10-07,2024-11-06,2024-11-06,72
287,40,9.0,2024-11-25,2024-12-25,2024-12-25,72
288,41,2.0,2024-01-22,2024-02-01,2024-02-01,60
289,41,2.0,2024-03-04,2024-03-14,2024-03-14,60
290,41,2.0,2024-04-08,2024-04-18,2024-04-18,60
291,41,2.0,2024-06-03,2024-06-13,2024-06-13,60
292,41,2.0,2024-07-15,2024-07-25,2024-07-25,60
293,41,2.0,2024-08-26,2024-09-05,2024-09-05,60
294,41,2.0,2024-10-14,2024-10-24,2024-11-04,60
295,41,2.0,2024-11-25,2024-12-05,2024-12-05,60
296,42,7.0,2024-01-15,2024-01-22,2024-01-26,48
297,42,7.0,2024-03-04,2024-03-11,2024-03-11,48
298,42,7.0,2024-04-15,2024-04-22,2024-05-05,48
299,42,7.0,2024-05-27,2024-06-03,2024-06-14,48
300,42,7.0,2024-07-08,2024-07-15,2024-07-25,48
301,42,7.0,2024-08-19,2024-08-26,2024-09-09,48
302,42,7.0,2024-10-14,2024-10-21,2024-10-30,48
303,42,7.0,2024-11-18,2024-11-25,2024-12-06,48
304,43,15.0,2024-02-12,2024-02-26,2024-02-26,6
305,43,15.0,2024-04-22,2024-05-06,2024-05-06,6
306,43,15.0,2024-08-05,2024-08-19,2024-08-29,6
307,44,8.0,2024-01-15,2024-01-25,2024-01-25,90
308,44,8.0,2024-02-26,2024-03-07,2024-03-07,90
309,44,8.0,2024-04-01,2024-04-11,2024-04-11,90
310,44,8.0,2024-05-13,2024-05-23,2024-05-23,90
311,44,8.0,2024-07-01,2024-07-11,2024-07-11,90
312,44,8.0,2024-08-12,2024-08-22,2024-08-22,90
313,44,8.0,2024-09-23,2024-10-03,2024-10-03,90
314,44,8.0,2024-11-04,2024-11-14,2024-11-14,90
315,44,8.0,2024-12-16,2024-12-26,2024-12-26,90
316,45,9.0,2024-01-15,2024-02-14,2024-02-14,60
317,45,9.0,2024-03-04,2024-04-03,2024-04-03,60
318,45,9.0,2024-04-22,2024-05-22,2024-05-22,60
319,45,9.0,2024-06-17,2024-07-17,2024-07-17,60
320,45,9.0,2024-08-05,2024-09-04,2024-09-04,60
321,45,9.0,2024-09-30,2024-10-30,2024-10-30,60
322,45,9.0,2024-11-25,2024-12-25,2024-12-25,60
323,46,4.0,2024-01-22,2024-02-21,2024-02-21,24
324,46,4.0,2024-03-18,2024-04-17,2024-04-17,24
325,46,4.0,2024-05-13,2024-06-12,2024-06-12,24
326,46,4.0,2024-07-01,2024-07-31,2024-07-31,24
327,46,4.0,2024-08-26,2024-09-25,2024-09-25,24
328,46,4.0,2024-10-21,2024-11-20,2024-11-20,24
330,47,13.0,2024-01-15,2024-01-22,2024-01-25,126
331,47,13.0,2024-03-11,2024-03-18,2024-03-18,126
332,47,13.0,2024-04-15,2024-04-22,2024-04-22,126
333,47,13.0,2024-06-03,2024-06-10,2024-06-10,126
334,47,13.0,2024-07-08,2024-07-15,2024-07-15,126
335,47,13.0,2024-08-19,2024-08-26,2024-08-26,126
336,47,13.0,2024-09-30,2024-10-07,2024-10-07,126
337,47,13.0,2024-11-25,2024-12-02,2024-12-02,126
339,48,2.0,2024-01-15,2024-01-25,2024-01-25,6
340,48,2.0,2024-03-04,2024-03-14,2024-03-14,6
341,48,2.0,2024-04-29,2024-05-09,2024-05-09,6
342,48,2.0,2024-07-29,2024-08-08,2024-08-08,6
343,48,2.0,2024-10-07,2024-10-17,2024-10-17,6
344,49,7.0,2024-01-15,2024-01-22,2024-01-22,12
345,49,7.0,2024-03-18,2024-03-25,2024-03-25,12
346,49,7.0,2024-05-13,2024-05-20,2024-05-20,12
347,49,7.0,2024-07-01,2024-07-08,2024-07-17,12
348,49,7.0,2024-08-26,2024-09-02,2024-09-12,12
349,49,7.0,2024-09-30,2024-10-07,2024-10-19,12
350,49,7.0,2024-11-25,2024-12-02,2024-12-11,12
351,50,14.0,2024-01-08,2024-01-29,2024-01-29,144
352,50,14.0,2024-02-19,2024-03-11,2024-03-15,144
353,50,14.0,2024-04-08,2024-04-29,2024-05-04,144
354,50,14.0,2024-05-20,2024-06-10,2024-06-15,144
355,50,14.0,2024-07-08,2024-07-29,2024-07-29,144
356,50,14.0,2024-08-19,2024-09-09,2024-09-09,144
357,50,14.0,2024-09-30,2024-10-21,2024-10-21,144
358,50,14.0,2024-11-11,2024-12-02,2024-12-02,144
360,51,14.0,2024-01-15,2024-02-05,2024-02-05,180
361,51,14.0,2024-03-04,2024-03-25,2024-04-03,180
362,51,14.0,2024-04-29,2024-05-20,2024-05-20,180
363,51,14.0,2024-06-10,2024-07-01,2024-07-01,180
364,51,14.0,2024-07-22,2024-08-12,2024-08-12,180
365,51,14.0,2024-09-16,2024-10-07,2024-10-07,180
366,51,14.0,2024-10-28,2024-11-18,2024-11-26,180
368,52,9.0,2024-01-29,2024-02-28,2024-02-28,18
369,52,9.0,2024-04-01,2024-05-01,2024-05-04,18
370,52,9.0,2024-06-10,2024-07-10,2024-07-10,18
371,52,9.0,2024-08-05,2024-09-04,2024-09-10,18
372,52,,2024-10-07,2024-11-06,2024-11-18,18
374,53,12.0,2024-01-15,2024-02-14,2024-02-14,66
375,53,12.0,2024-03-04,2024-04-03,2024-04-03,66
376,53,12.0,2024-04-22,2024-05-22,2024-05-22,66
377,53,12.0,2024-06-17,2024-07-17,2024-07-17,66
378,53,12.0,2024-08-12,2024-09-11,2024-09-11,66
379,53,12.0,2024-09-30,2024-10-30,2024-10-30,66
380,53,12.0,2024-11-18,2024-12-18,2024-12-18,66
381,54,1.0,2024-01-15,2024-01-22,2024-01-22,198
382,54,1.0,2024-02-26,2024-03-04,2024-03-08,198
383,54,1.0,2024-04-22,2024-04-29,2024-05-04,198
384,54,1.0,2024-06-03,2024-06-10,2024-06-14,198
385,54,1.0,2024-07-08,2024-07-15,2024-07-15,198
386,54,1.0,2024-08-26,2024-09-02,2024-09-14,198
387,54,1.0,2024-10-14,2024-10-21,2024-10-30,198
388,54,1.0,2024-12-02,2024-12-09,2024-12-09,198
389,55,13.0,2024-01-22,2024-01-29,2024-01-29,6
390,55,13.0,2024-03-11,2024-03-18,2024-03-18,6
391,55,13.0,2024-06-17,2024-06-24,2024-06-24,6
392,55,13.0,2024-10-21,2024-10-28,2024-10-28,6
393,56,1.0,2024-01-15,2024-01-22,2024-01-22,48
394,56,1.0,2024-02-26,2024-03-04,2024-03-17,48
395,56,1.0,2024-04-15,2024-04-22,2024-04-22,48
396,56,1.0,2024-05-27,2024-06-03,2024-06-03,48
397,56,1.0,2024-07-22,2024-07-29,2024-08-01,48
398,56,1.0,2024-09-02,2024-09-09,2024-09-09,48
399,56,1.0,2024-10-21,2024-10-28,2024-10-28,48
400,56,1.0,2024-11-18,2024-11-25,2024-11-25,48
401,57,1.0,2024-01-15,2024-01-22,2024-01-22,174
402,57,1.0,2024-02-19,2024-02-26,2024-02-26,174
403,57,1.0,2024-04-08,2024-04-15,2024-04-25,174
404,57,1.0,2024-05-13,2024-05-20,2024-05-20,174
405,57,1.0,2024-06-24,2024-07-01,2024-07-14,174
406,57,1.0,2024-08-12,2024-08-19,2024-08-29,174
407,57,1.0,2024-09-30,2024-10-07,2024-10-16,174
408,57,1.0,2024-11-11,2024-11-18,2024-11-18,174
409,58,10.0,2024-01-22,2024-02-21,2024-02-21,60
410,58,10.0,2024-03-11,2024-04-10,2024-04-10,60
411,58,10.0,2024-05-06,2024-06-05,2024-06-05,60
412,58,10.0,2024-07-08,2024-08-07,2024-08-17,60
413,58,10.0,2024-09-09,2024-10-09,2024-10-09,60
414,58,10.0,2024-10-28,2024-11-27,2024-12-09,60
415,59,14.0,2024-01-15,2024-02-05,2024-02-05,18
416,59,14.0,2024-03-04,2024-03-25,2024-03-29,18
417,59,14.0,2024-04-29,2024-05-20,2024-05-20,18
418,59,14.0,2024-06-10,2024-07-01,2024-07-01,18
419,59,14.0,2024-07-29,2024-08-19,2024-08-31,18
420,59,14.0,2024-10-07,2024-10-28,2024-11-06,18
422,60,8.0,2024-01-15,2024-01-25,2024-01-25,36
423,60,8.0,2024-03-04,2024-03-14,2024-03-14,36
424,60,8.0,2024-04-15,2024-04-25,2024-04-25,36
425,60,8.0,2024-05-27,2024-06-06,2024-06-06,36
426,60,8.0,2024-07-08,2024-07-18,2024-07-18,36
427,60,8.0,2024-08-12,2024-08-22,2024-08-22,36
428,60,8.0,2024-09-30,2024-10-10,2024-10-10,36
429,60,8.0,2024-11-18,2024-11-28,2024-11-28,36
430,61,3.0,2024-01-22,2024-02-01,2024-02-01,30
431,61,3.0,2024-03-04,2024-03-14,2024-03-14,30
432,61,3.0,2024-04-29,2024-05-09,2024-05-09,30
433,61,3.0,2024-06-03,2024-06-13,2024-06-13,30
434,61,3.0,2024-07-15,2024-07-25,2024-07-25,30
435,61,3.0,2024-08-26,2024-09-05,2024-09-05,30
436,61,3.0,2024-10-07,2024-10-17,2024-10-17,30
437,61,3.0,2024-11-18,2024-11-28,2024-11-28,30
438,62,3.0,2024-01-22,2024-02-01,2024-02-01,108
439,62,3.0,2024-02-26,2024-03-07,2024-03-07,108
440,62,3.0,2024-04-22,2024-05-02,2024-05-02,108
441,62,3.0,2024-06-10,2024-06-20,2024-06-20,108
442,62,3.0,2024-07-22,2024-08-01,2024-08-01,108
443,62,3.0,2024-08-26,2024-09-05,2024-09-05,108
444,62,3.0,2024-10-14,2024-10-24,2024-10-24,108
445,62,3.0,2024-11-25,2024-12-05,2024-12-05,108
446,63,13.0,2024-01-15,2024-01-22,2024-01-22,318
447,63,13.0,2024-03-04,2024-03-11,2024-03-11,318
448,63,13.0,2024-04-15,2024-04-22,2024-05-03,318
449,63,13.0,2024-05-27,2024-06-03,2024-06-03,318
450,63,13.0,2024-07-01,2024-07-08,2024-07-08,318
451,63,13.0,2024-08-19,2024-08-26,2024-08-26,318
452,63,13.0,2024-09-23,2024-09-30,2024-09-30,318
453,63,13.0,2024-11-04,2024-11-11,2024-11-11,318
454,63,13.0,2024-12-09,2024-12-16,2024-12-16,318
455,64,12.0,2024-01-15,2024-02-14,2024-02-14,24
456,64,12.0,2024-03-11,2024-04-10,2024-04-10,24
457,64,12.0,2024-05-13,2024-06-12,2024-06-12,24
458,64,12.0,2024-07-01,2024-07-31,2024-07-31,24
459,64,12.0,2024-08-19,2024-09-18,2024-09-18,24
460,64,12.0,2024-10-14,2024-11-13,2024-11-13,24
462,65,5.0,2024-01-15,2024-02-14,2024-02-25,30
463,65,5.0,2024-04-01,2024-05-01,2024-05-05,30
464,65,5.0,2024-05-27,2024-06-26,2024-07-03,30
465,65,5.0,2024-07-29,2024-08-28,2024-08-28,30
466,65,5.0,2024-09-30,2024-10-30,2024-10-30,30
467,65,5.0,2024-11-25,2024-12-25,2024-12-25,30
468,66,14.0,2024-02-19,2024-03-11,2024-03-11,6
469,66,14.0,2024-05-27,2024-06-17,2024-06-17,6
470,66,14.0,2024-07-22,2024-08-12,2024-08-23,6
471,66,14.0,2024-11-11,2024-12-02,2024-12-02,6
472,67,9.0,2024-01-15,2024-02-14,2024-02-27,60
473,67,9.0,2024-03-18,2024-04-17,2024-04-27,60
474,67,,2024-05-20,2024-06-19,2024-06-19,60
475,67,9.0,2024-07-08,2024-08-07,2024-08-07,60
476,67,9.0,2024-09-02,2024-10-02,2024-10-02,60
