log_id,line_id,production_date,planned_minutes,downtime_minutes,downtime_reason,units_produced,units_defective
41,1,2024-02-10,480,17,Changeover,632,26
42,1,2024-02-11,480,25,Changeover,722,56
43,1,2024-02-12,480,0,Unspecified,716,37
44,1,2024-02-13,480,11,Mechanical Failure,642,30
45,1,2024-02-14,480,128,Mechanical Failure,504,29
46,1,2024-02-15,480,54,Changeover,615,52
47,1,2024-02-16,480,147,Changeover,469,26
48,1,2024-02-17,480,16,Planned Maintenance,659,20
49,1,2024-02-18,480,42,Mechanical Failure,652,20
50,1,2024-02-19,480,14,Material Shortage,753,32
51,1,2024-02-20,480,7,Operator Break,702,60
52,1,2024-02-21,480,12,Changeover,721,52
53,1,2024-02-22,480,12,Mechanical Failure,730,36
54,1,2024-02-23,480,44,Changeover,667,39
55,1,2024-02-24,480,4,Planned Maintenance,758,35
56,1,2024-02-25,480,9,Operator Break,633,39
57,1,2024-02-26,480,50,Mechanical Failure,574,33
58,1,2024-02-27,480,11,Unspecified,719,27
59,1,2024-02-28,480,52,Operator Break,621,51
60,1,2024-02-29,480,6,Unspecified,681,24
61,1,2024-03-01,480,116,Planned Maintenance,584,25
62,1,2024-03-02,480,48,Unspecified,685,41
63,1,2024-03-03,480,33,Operator Break,629,21
64,1,2024-03-04,480,102,Material Shortage,610,39
65,1,2024-03-05,480,18,Material Shortage,665,46
66,1,2024-03-06,480,102,Changeover,608,44
67,1,2024-03-07,480,46,Changeover,589,22
68,1,2024-03-08,480,102,Material Shortage,575,16
69,1,2024-03-09,480,4,Mechanical Failure,732,21
70,1,2024-03-10,480,7,Unspecified,711,48
71,1,2024-03-11,480,47,Changeover,607,42
72,1,2024-03-12,480,12,Changeover,670,48
73,1,2024-03-13,480,47,Mechanical Failure,691,46
74,1,2024-03-14,480,37,Material Shortage,602,30
75,1,2024-03-15,480,13,Changeover,657,55
76,1,2024-03-16,480,22,Changeover,737,47
77,1,2024-03-17,480,71,Mechanical Failure,609,37
78,1,2024-03-18,480,30,Changeover,626,44
79,1,2024-03-19,480,14,Mechanical Failure,624,41
80,1,2024-03-20,480,8,Mechanical Failure,767,64
81,1,2024-03-21,480,110,Changeover,535,15
82,1,2024-03-22,480,118,Changeover,530,44
83,1,2024-03-23,480,148,Operator Break,530,24
84,1,2024-03-24,480,21,Mechanical Failure,733,34
85,1,2024-03-25,480,8,Changeover,710,58
86,1,2024-03-26,480,53,Planned Maintenance,644,22
87,1,2024-03-27,480,42,Material Shortage,719,26
88,1,2024-03-28,480,32,Changeover,719,51
89,1,2024-03-29,480,53,Planned Maintenance,662,32
90,1,2024-03-30,480,15,Unspecified,737,55
91,1,2024-03-31,480,90,Changeover,630,36
92,1,2024-04-01,480,31,Planned Maintenance,710,46
93,1,2024-04-02,480,54,Changeover,673,53
94,1,2024-04-03,480,18,Unspecified,669,22
95,1,2024-04-04,480,38,Material Shortage,593,32
96,1,2024-04-05,480,35,Operator Break,632,39
97,1,2024-04-06,480,1,Operator Break,643,48
98,1,2024-04-07,480,20,Mechanical Failure,630,37
99,1,2024-04-08,480,66,Material Shortage,579,37
100,1,2024-04-09,480,4,Material Shortage,641,38
101,1,2024-04-10,480,34,Material Shortage,683,48
102,1,2024-04-11,480,167,Planned Maintenance,467,22
103,1,2024-04-12,480,71,Material Shortage,579,31
104,1,2024-04-13,480,3,Mechanical Failure,638,53
105,1,2024-04-14,480,81,Planned Maintenance,618,32
106,1,2024-04-15,480,8,Mechanical Failure,651,28
107,1,2024-04-16,480,35,Operator Break,692,46
108,1,2024-04-17,480,14,Material Shortage,759,54
109,1,2024-04-18,480,36,Mechanical Failure,676,35
110,1,2024-04-19,480,12,Planned Maintenance,675,48
111,1,2024-04-20,480,0,Unspecified,656,20
112,1,2024-04-21,480,1,Mechanical Failure,766,53
113,1,2024-04-22,480,28,Changeover,615,35
114,1,2024-04-23,480,28,Operator Break,626,33
115,1,2024-04-24,480,22,Changeover,698,45
116,1,2024-04-25,480,2,Operator Break,692,44
117,1,2024-04-26,480,31,Operator Break,718,47
118,1,2024-04-27,480,7,Operator Break,640,42
119,1,2024-04-28,480,1,Planned Maintenance,725,60
120,1,2024-04-29,480,38,Operator Break,642,42
121,1,2024-04-30,480,27,Material Shortage,680,56
122,1,2024-05-01,480,21,Changeover,749,60
123,1,2024-05-02,480,9,Unspecified,637,22
124,1,2024-05-03,480,0,Unspecified,653,44
125,1,2024-05-04,480,3,Planned Maintenance,682,52
126,1,2024-05-05,480,1,Changeover,760,34
127,1,2024-05-06,480,5,Changeover,736,47
128,1,2024-05-07,480,94,Planned Maintenance,602,45
129,1,2024-05-08,480,14,Mechanical Failure,646,46
130,1,2024-05-09,480,73,Planned Maintenance,668,35
131,1,2024-05-10,480,20,Mechanical Failure,724,35
132,1,2024-05-11,480,120,Unspecified,576,30
133,1,2024-05-12,480,62,Changeover,655,22
134,1,2024-05-13,480,104,Unspecified,560,42
135,1,2024-05-14,480,17,Material Shortage,746,38
136,1,2024-05-15,480,0,Unspecified,775,26
137,1,2024-05-16,480,17,Changeover,754,62
138,1,2024-05-17,480,38,Material Shortage,676,36
139,1,2024-05-18,480,15,Changeover,667,44
140,1,2024-05-19,480,62,Changeover,660,48
141,1,2024-05-20,480,4,Changeover,707,22
142,1,2024-05-21,480,35,Material Shortage,654,52
143,1,2024-05-22,480,19,Changeover,630,23
144,1,2024-05-23,480,64,Unspecified,634,21
145,1,2024-05-24,480,3,Planned Maintenance,739,24
146,1,2024-05-25,480,77,Mechanical Failure,625,20
147,1,2024-05-26,480,3,Operator Break,782,39
148,1,2024-05-27,480,20,Changeover,729,60
149,1,2024-05-28,480,191,Operator Break,453,22
150,1,2024-05-29,480,3,Planned Maintenance,751,45
151,1,2024-05-30,480,24,Planned Maintenance,736,25
152,1,2024-05-31,480,30,Material Shortage,600,33
153,1,2024-06-01,480,2,Planned Maintenance,654,23
154,1,2024-06-02,480,47,Mechanical Failure,677,42
155,1,2024-06-03,480,147,Mechanical Failure,482,21
156,1,2024-06-04,480,91,Unspecified,545,45
157,1,2024-06-05,480,0,Unspecified,785,24
158,1,2024-06-06,480,99,Material Shortage,570,48
159,1,2024-06-07,480,3,Unspecified,717,60
160,1,2024-06-08,480,33,Planned Maintenance,683,46
161,1,2024-06-09,480,27,Planned Maintenance,692,43
162,1,2024-06-10,480,104,Planned Maintenance,506,22
163,1,2024-06-11,480,135,Planned Maintenance,555,30
164,1,2024-06-12,480,43,Operator Break,619,24
165,1,2024-06-13,480,28,Material Shortage,651,40
166,1,2024-06-14,480,3,Operator Break,780,66
167,1,2024-06-15,480,53,Planned Maintenance,640,29
168,1,2024-06-16,480,75,Operator Break,626,23
169,1,2024-06-17,480,108,Mechanical Failure,591,49
170,1,2024-06-18,480,58,Mechanical Failure,643,33
171,1,2024-06-19,480,121,Mechanical Failure,575,18
172,1,2024-06-20,480,1,Changeover,694,52
173,1,2024-06-21,480,196,Mechanical Failure,391,24
174,1,2024-06-22,480,21,Changeover,750,57
175,1,2024-06-23,480,81,Changeover,589,31
176,1,2024-06-24,480,14,Changeover,628,49
177,1,2024-06-25,480,75,Operator Break,666,57
178,1,2024-06-26,480,36,Planned Maintenance,698,58
179,1,2024-06-27,480,85,Planned Maintenance,556,30
180,1,2024-06-28,480,6,Changeover,772,49
181,1,2024-06-29,480,11,Changeover,723,46
182,1,2024-06-30,480,19,Changeover,630,42
183,1,2024-07-01,480,33,Changeover,703,41
184,1,2024-07-02,480,85,Unspecified,594,36
185,1,2024-07-03,480,94,Operator Break,562,20
186,1,2024-07-04,480,1,Operator Break,751,48
187,1,2024-07-05,480,54,Unspecified,595,21
188,1,2024-07-06,480,0,Unspecified,691,43
189,1,2024-07-07,480,22,Material Shortage,672,54
190,1,2024-07-08,480,19,Planned Maintenance,688,50
191,1,2024-07-09,480,22,Changeover,699,54
192,1,2024-07-10,480,134,Operator Break,476,39
193,1,2024-07-11,480,30,Operator Break,635,35
194,1,2024-07-12,480,175,Material Shortage,453,21
195,1,2024-07-13,480,45,Operator Break,612,20
196,1,2024-07-14,480,6,Operator Break,650,24
197,1,2024-07-15,480,6,Planned Maintenance,726,28
198,1,2024-07-16,480,19,Mechanical Failure,743,41
199,1,2024-07-17,480,49,Planned Maintenance,597,23
200,1,2024-07-18,480,1,Material Shortage,663,29
201,1,2024-07-19,480,8,Operator Break,641,22
202,1,2024-07-20,480,27,Planned Maintenance,632,31
203,1,2024-07-21,480,31,Planned Maintenance,695,21
204,1,2024-07-22,480,72,Operator Break,623,20
205,1,2024-07-23,480,92,Planned Maintenance,628,20
206,1,2024-07-24,480,14,Mechanical Failure,738,738
207,1,2024-07-25,480,9,Planned Maintenance,658,32
208,1,2024-07-26,480,29,Planned Maintenance,687,34
209,1,2024-07-27,480,27,Material Shortage,709,21
210,1,2024-07-28,480,13,Planned Maintenance,726,58
211,1,2024-07-29,480,32,Operator Break,671,23
212,1,2024-07-30,480,26,Material Shortage,680,29
213,1,2024-07-31,480,14,Operator Break,675,20
214,1,2024-08-01,480,17,Operator Break,647,30
215,1,2024-08-02,480,5,Planned Maintenance,765,48
216,1,2024-08-03,480,51,Operator Break,677,38
217,1,2024-08-04,480,4,Mechanical Failure,713,44
218,1,2024-08-05,480,61,Changeover,614,22
219,1,2024-08-06,480,15,Planned Maintenance,672,44
220,1,2024-08-07,480,38,Mechanical Failure,637,54
221,1,2024-08-08,480,41,Operator Break,617,21
222,1,2024-08-09,480,7,Changeover,666,25
223,1,2024-08-10,480,9,Planned Maintenance,669,25
224,1,2024-08-11,480,102,Material Shortage,512,30
225,1,2024-08-12,480,23,Material Shortage,749,26
226,1,2024-08-13,480,22,Material Shortage,749,58
227,1,2024-08-14,480,76,Unspecified,570,22
228,1,2024-08-15,480,49,Material Shortage,699,42
229,1,2024-08-16,480,38,Changeover,627,45
230,1,2024-08-17,480,9,Mechanical Failure,674,35
231,1,2024-08-18,480,31,Changeover,632,22
232,1,2024-08-19,480,42,Operator Break,622,38
233,1,2024-08-20,480,7,Unspecified,701,41
234,1,2024-08-21,480,2,Mechanical Failure,686,25
235,1,2024-08-22,480,2,Material Shortage,784,37
236,1,2024-08-23,480,74,Planned Maintenance,573,38
237,1,2024-08-24,480,64,Planned Maintenance,631,35
238,1,2024-08-25,480,23,Planned Maintenance,658,54
239,1,2024-08-26,480,79,Planned Maintenance,655,23
240,1,2024-08-27,480,59,Material Shortage,684,26
241,1,2024-08-28,480,3,Planned Maintenance,745,46
242,1,2024-08-29,480,82,Changeover,547,40
243,1,2024-08-30,480,10,Material Shortage,649,24
244,1,2024-08-31,480,75,Mechanical Failure,623,36
245,1,2024-09-01,480,19,Mechanical Failure,740,37
246,1,2024-09-02,480,76,Material Shortage,593,29
247,1,2024-09-03,480,27,Mechanical Failure,646,46
248,1,2024-09-04,480,31,Mechanical Failure,630,50
249,1,2024-09-05,480,21,Material Shortage,689,55
250,1,2024-09-06,480,44,Material Shortage,596,49
251,1,2024-09-07,480,44,Material Shortage,626,23
252,1,2024-09-08,480,71,Changeover,624,37
253,1,2024-09-09,480,100,Planned Maintenance,599,22
254,1,2024-09-10,480,16,Unspecified,654,46
255,1,2024-09-11,480,1,Material Shortage,723,52
256,1,2024-09-12,480,94,Changeover,555,42
257,1,2024-09-13,480,5,Operator Break,758,27
258,1,2024-09-14,480,22,Planned Maintenance,724,27
259,1,2024-09-15,480,11,Unspecified,730,51
260,1,2024-09-16,480,46,Changeover,672,40
261,1,2024-09-17,480,13,Planned Maintenance,672,26
262,1,2024-09-18,480,107,Operator Break,564,29
263,1,2024-09-19,480,27,Planned Maintenance,737,27
264,1,2024-09-20,480,39,Unspecified,657,42
265,1,2024-09-21,480,0,Unspecified,770,63
266,1,2024-09-22,480,37,Changeover,686,56
267,1,2024-09-23,480,55,Unspecified,586,36
268,1,2024-09-24,480,41,Planned Maintenance,642,45
269,1,2024-09-25,480,122,Unspecified,580,31
270,1,2024-09-26,480,5,Operator Break,779,60
271,1,2024-09-27,480,5,Operator Break,769,60
272,1,2024-09-28,480,32,Mechanical Failure,679,35
273,1,2024-09-29,480,2,Mechanical Failure,686,51
274,1,2024-09-30,480,0,Unspecified,689,35
275,1,2024-10-01,480,34,Unspecified,722,35
276,1,2024-10-02,480,19,Unspecified,720,39
277,1,2024-10-03,480,11,Planned Maintenance,691,25
278,1,2024-10-04,480,8,Material Shortage,702,37
279,1,2024-10-05,480,110,Unspecified,534,33
280,1,2024-10-06,480,44,Operator Break,582,38
281,1,2024-10-07,480,8,Planned Maintenance,770,28
282,1,2024-10-08,480,24,Unspecified,619,53
283,1,2024-10-09,480,31,Changeover,681,22
284,1,2024-10-10,480,62,Material Shortage,584,46
285,1,2024-10-11,480,10,Operator Break,653,20
286,1,2024-10-12,480,28,Operator Break,681,22
287,1,2024-10-13,480,67,Mechanical Failure,608,35
288,1,2024-10-14,480,26,Changeover,661,40
289,1,2024-10-15,480,7,Mechanical Failure,656,51
290,1,2024-10-16,480,131,Changeover,505,22
291,1,2024-10-17,480,46,Mechanical Failure,633,19
292,1,2024-10-18,480,7,Material Shortage,735,49
293,1,2024-10-19,480,1,Planned Maintenance,671,28
294,1,2024-10-20,480,50,Operator Break,575,19
295,1,2024-10-21,480,72,Mechanical Failure,566,37
296,1,2024-10-22,480,12,Operator Break,637,27
297,1,2024-10-23,480,57,Planned Maintenance,676,51
298,1,2024-10-24,480,22,Operator Break,705,28
299,1,2024-10-25,480,15,Unspecified,749,22
300,1,2024-10-26,480,4,Material Shortage,664,20
301,1,2024-10-27,480,9,Unspecified,713,37
302,1,2024-10-28,480,100,Changeover,603,29
303,1,2024-10-29,480,13,Material Shortage,677,42
304,1,2024-10-30,480,14,Operator Break,711,37
305,1,2024-10-31,480,36,Unspecified,651,29
306,1,2024-11-01,480,133,Planned Maintenance,545,20
307,1,2024-11-02,480,91,Operator Break,577,46
308,1,2024-11-03,480,72,Operator Break,597,17
309,1,2024-11-04,480,14,Planned Maintenance,699,45
310,1,2024-11-05,480,13,Mechanical Failure,642,49
311,1,2024-11-06,480,187,Unspecified,438,16
312,1,2024-11-07,480,14,Planned Maintenance,623,50
313,1,2024-11-08,480,5,Unspecified,718,31
314,1,2024-11-09,480,36,Changeover,681,52
315,1,2024-11-10,480,10,Planned Maintenance,627,22
316,1,2024-11-11,480,103,Changeover,605,38
317,1,2024-11-12,480,41,Operator Break,676,26
318,1,2024-11-13,480,110,Planned Maintenance,541,27
319,1,2024-11-14,480,32,Unspecified,603,23
320,1,2024-11-15,480,60,Mechanical Failure,570,36
321,1,2024-11-16,480,12,Changeover,680,30
322,1,2024-11-17,480,19,Material Shortage,717,32
323,1,2024-11-18,480,37,Mechanical Failure,656,43
324,1,2024-11-19,480,124,Mechanical Failure,555,22
325,1,2024-11-20,480,1,Planned Maintenance,677,42
326,1,2024-11-21,480,2,Operator Break,710,44
327,1,2024-11-22,480,18,Material Shortage,726,25
328,1,2024-11-23,480,3,Material Shortage,744,42
329,1,2024-11-24,480,52,Changeover,628,26
330,1,2024-11-25,480,76,Unspecified,639,43
331,1,2024-11-26,480,14,Operator Break,706,34
332,1,2024-11-27,480,4,Changeover,770,28
333,1,2024-11-28,480,134,Material Shortage,509,20
334,1,2024-11-29,480,35,Planned Maintenance,714,50
335,1,2024-11-30,480,73,Changeover,626,42
336,1,2024-12-01,480,85,Planned Maintenance,556,31
337,1,2024-12-02,480,11,Material Shortage,769,63
338,1,2024-12-03,480,1,Material Shortage,743,60
339,1,2024-12-04,480,8,Unspecified,712,57
340,1,2024-12-05,480,1,Material Shortage,742,34
341,1,2024-12-06,480,116,Operator Break,595,49
342,1,2024-12-07,480,28,Mechanical Failure,724,56
343,1,2024-12-08,480,17,Planned Maintenance,736,22
344,1,2024-12-09,480,40,Operator Break,617,22
345,1,2024-12-10,480,3,Operator Break,739,35
346,1,2024-12-11,480,58,Changeover,570,26
347,1,2024-12-12,480,34,Planned Maintenance,704,33
348,1,2024-12-13,480,44,Material Shortage,701,45
349,1,2024-12-14,480,11,Unspecified,628,49
350,1,2024-12-15,480,0,Unspecified,770,45
351,1,2024-12-16,480,125,Mechanical Failure,561,48
352,1,2024-12-17,480,19,Mechanical Failure,724,37
353,1,2024-12-18,480,29,Mechanical Failure,689,54
354,1,2024-12-19,480,186,Planned Maintenance,462,24
355,1,2024-12-20,480,24,Planned Maintenance,712,30
356,1,2024-12-21,480,5,Operator Break,685,31
357,1,2024-12-22,480,15,Planned Maintenance,653,20
358,1,2024-12-23,480,0,Unspecified,787,42
359,1,2024-12-24,480,21,Unspecified,708,29
360,1,2024-12-25,480,134,Changeover,546,18
361,1,2024-12-26,480,24,Changeover,732,60
362,1,2024-12-27,480,28,Mechanical Failure,688,26
363,1,2024-12-28,480,212,Planned Maintenance,376,31
364,1,2024-12-29,480,47,Planned Maintenance,659,38
365,1,2024-12-30,480,11,Material Shortage,650,26
366,1,2024-12-31,480,9,Material Shortage,742,36
367,2,2024-01-01,480,41,Planned Maintenance,1318,115
368,2,2024-01-02,480,3,Planned Maintenance,1285,94
369,2,2024-01-03,480,22,Mechanical Failure,1169,89
370,2,2024-01-04,480,4,Operator Break,1235,74
371,2,2024-01-05,480,17,Unspecified,1297,44
372,2,2024-01-06,480,40,Unspecified,1152,42
373,2,2024-01-07,480,41,Unspecified,1325,105
374,2,2024-01-08,480,31,Mechanical Failure,1277,78
375,2,2024-01-09,480,1,Operator Break,1294,66
376,2,2024-01-10,480,5,Unspecified,1370,79
377,2,2024-01-11,480,1,Operator Break,1241,85
378,2,2024-01-12,480,1,Planned Maintenance,1417,82
379,2,2024-01-13,480,12,Changeover,1314,101
380,2,2024-01-14,480,8,Operator Break,1349,84
381,2,2024-01-15,480,5,Operator Break,1412,107
382,2,2024-01-16,480,20,Planned Maintenance,1360,108
383,2,2024-01-17,480,23,Unspecified,1348,94
384,2,2024-01-18,480,21,Material Shortage,1296,94
385,2,2024-01-19,480,3,Material Shortage,1419,113
386,2,2024-01-20,480,0,Unspecified,1413,51
387,2,2024-01-21,480,7,Mechanical Failure,1369,52
388,2,2024-01-22,480,32,Material Shortage,1320,77
389,2,2024-01-23,480,0,Unspecified,1263,82
390,2,2024-01-24,480,75,Planned Maintenance,1146,50
391,2,2024-01-25,480,19,Material Shortage,1280,95
392,2,2024-01-26,480,2,Unspecified,1389,84
393,2,2024-01-27,480,63,Operator Break,1110,73
394,2,2024-01-28,480,51,Material Shortage,1082,90
395,2,2024-01-29,480,22,Planned Maintenance,1146,53
396,2,2024-01-30,480,23,Material Shortage,1144,72
397,2,2024-01-31,480,8,Unspecified,1333,42
398,2,2024-02-01,480,39,Mechanical Failure,1336,114
399,2,2024-02-02,480,26,Unspecified,1153,84
400,2,2024-02-03,480,0,Unspecified,1189,57
401,2,2024-02-04,480,12,Unspecified,1362,94
402,2,2024-02-05,480,11,Material Shortage,1230,107
403,2,2024-02-06,480,10,Operator Break,1281,49
404,2,2024-02-07,480,30,Unspecified,1290,54
405,2,2024-02-08,480,1,Operator Break,1369,92
406,2,2024-02-09,480,6,Mechanical Failure,1429,54
407,2,2024-02-10,480,10,Planned Maintenance,1415,76
408,2,2024-02-11,480,19,Mechanical Failure,1242,56
409,2,2024-02-12,480,79,Material Shortage,1083,88
410,2,2024-02-13,480,4,Material Shortage,1232,38
411,2,2024-02-14,480,20,Mechanical Failure,1232,98
412,2,2024-02-15,480,12,Mechanical Failure,1416,56
413,2,2024-02-16,480,38,Material Shortage,1288,95
414,2,2024-02-17,480,35,Operator Break,1293,85
415,2,2024-02-18,480,2,Planned Maintenance,1187,98
416,2,2024-02-19,480,18,Planned Maintenance,1352,77
417,2,2024-02-20,480,2,Changeover,1212,83
418,2,2024-02-21,480,10,Operator Break,1213,70
419,2,2024-02-22,480,1,Planned Maintenance,1342,60
420,2,2024-02-23,480,30,Operator Break,1190,66
421,2,2024-02-24,480,0,Unspecified,1203,62
422,2,2024-02-25,480,12,Operator Break,1316,60
423,2,2024-02-26,480,22,Operator Break,1357,101
424,2,2024-02-27,480,0,Unspecified,1316,46
425,2,2024-02-28,480,5,Operator Break,1442,54
426,2,2024-02-29,480,13,Operator Break,1318,92
427,2,2024-03-01,480,15,Changeover,1148,55
428,2,2024-03-02,480,13,Material Shortage,1174,58
429,2,2024-03-03,480,0,Unspecified,1205,63
430,2,2024-03-04,480,2,Operator Break,1335,92
431,2,2024-03-05,480,30,Planned Maintenance,1161,45
432,2,2024-03-06,480,2,Planned Maintenance,1354,95
433,2,2024-03-07,480,0,Unspecified,1443,46
434,2,2024-03-08,480,14,Material Shortage,1340,107
435,2,2024-03-09,480,23,Mechanical Failure,1339,65
436,2,2024-03-10,480,32,Mechanical Failure,1125,91
437,2,2024-03-11,480,15,Unspecified,1366,76
438,2,2024-03-12,480,19,Planned Maintenance,1277,91
439,2,2024-03-13,480,1,Material Shortage,1197,52
440,2,2024-03-14,480,3,Mechanical Failure,1416,59
441,2,2024-03-15,480,71,Material Shortage,1088,43
442,2,2024-03-16,480,29,Planned Maintenance,1284,74
443,2,2024-03-17,480,15,Changeover,1340,57
444,2,2024-03-18,480,107,Planned Maintenance,1130,75
445,2,2024-03-19,480,4,Mechanical Failure,1361,45
446,2,2024-03-20,480,0,Unspecified,1254,70
447,2,2024-03-21,480,38,Operator Break,1275,92
448,2,2024-03-22,480,10,Planned Maintenance,1252,63
449,2,2024-03-23,480,84,Operator Break,985,78
450,2,2024-03-24,480,16,Planned Maintenance,1261,90
451,2,2024-03-25,480,12,Material Shortage,1390,113
452,2,2024-03-26,480,10,Unspecified,1234,78
453,2,2024-03-27,480,46,Planned Maintenance,1122,73
454,2,2024-03-28,480,19,Mechanical Failure,1332,49
455,2,2024-03-29,480,24,Operator Break,1364,54
456,2,2024-03-30,480,5,Operator Break,1438,57
457,2,2024-03-31,480,36,Changeover,1221,53
458,2,2024-04-01,480,39,Operator Break,1200,71
459,2,2024-04-02,480,8,Changeover,1325,51
460,2,2024-04-03,480,9,Operator Break,1425,63
461,2,2024-04-04,480,20,Mechanical Failure,1220,90
462,2,2024-04-05,480,2,Planned Maintenance,1447,80
463,2,2024-04-06,480,5,Changeover,1191,46
464,2,2024-04-07,480,14,Planned Maintenance,1239,96
465,2,2024-04-08,480,10,Planned Maintenance,1226,80
466,2,2024-04-09,480,23,Mechanical Failure,1170,45
467,2,2024-04-10,480,0,Unspecified,1388,94
468,2,2024-04-11,480,12,Mechanical Failure,1382,105
469,2,2024-04-12,480,16,Material Shortage,1377,56
470,2,2024-04-13,480,2,Operator Break,1253,40
471,2,2024-04-14,480,14,Material Shortage,1401,44
472,2,2024-04-15,480,2,Planned Maintenance,1303,109
473,2,2024-04-16,480,7,Material Shortage,1305,41
474,2,2024-04-17,480,3,Planned Maintenance,1448,124
475,2,2024-04-18,480,0,Unspecified,1448,96
476,2,2024-04-19,480,38,Changeover,1206,71
477,2,2024-04-20,480,12,Planned Maintenance,1334,49
478,2,2024-04-21,480,0,Unspecified,1268,89
479,2,2024-04-22,480,4,Changeover,1359,116
480,2,2024-04-23,480,1,Operator Break,1367,75
481,2,2024-04-24,480,38,Material Shortage,1134,79
482,2,2024-04-25,480,34,Changeover,1343,92
483,2,2024-04-26,480,13,Planned Maintenance,1318,105
484,2,2024-04-27,480,16,Material Shortage,1151,96
485,2,2024-04-28,480,22,Operator Break,1308,54
486,2,2024-04-29,480,20,Changeover,1238,83
487,2,2024-04-30,480,2,Mechanical Failure,1360,119
488,2,2024-05-01,480,0,Unspecified,1455,77
489,2,2024-05-02,480,39,Material Shortage,1287,80
490,2,2024-05-03,480,25,Changeover,1353,71
491,2,2024-05-04,480,7,Operator Break,1349,103
492,2,2024-05-05,480,27,Operator Break,1326,72
493,2,2024-05-06,480,32,Mechanical Failure,1135,69
494,2,2024-05-07,480,0,Unspecified,1273,64
495,2,2024-05-08,480,9,Material Shortage,1351,70
496,2,2024-05-09,480,11,Planned Maintenance,1220,62
497,2,2024-05-10,480,4,Changeover,1193,76
498,2,2024-05-11,480,21,Unspecified,1296,72
499,2,2024-05-12,480,9,Material Shortage,1396,83
500,2,2024-05-13,480,12,Changeover,1160,57
501,2,2024-05-14,480,9,Changeover,1269,80
502,2,2024-05-15,480,14,Material Shortage,1312,97
503,2,2024-05-16,480,32,Material Shortage,1290,109
504,2,2024-05-17,480,0,Unspecified,1237,36
505,2,2024-05-18,480,19,Operator Break,1376,59
506,2,2024-05-19,480,50,Operator Break,1074,90
507,2,2024-05-20,480,8,Operator Break,1191,68
508,2,2024-05-21,480,5,Unspecified,1249,58
509,2,2024-05-22,480,31,Operator Break,1247,59
510,2,2024-05-23,480,18,Mechanical Failure,1330,60
511,2,2024-05-24,480,10,Mechanical Failure,1191,47
512,2,2024-05-25,480,21,Planned Maintenance,1179,70
513,2,2024-05-26,480,23,Planned Maintenance,1154,71
514,2,2024-05-27,480,5,Material Shortage,1436,82
515,2,2024-05-28,480,31,Mechanical Failure,1250,39
516,2,2024-05-29,480,19,Changeover,1390,89
517,2,2024-05-30,480,32,Unspecified,1334,56
518,2,2024-05-31,480,4,Planned Maintenance,1342,71
519,2,2024-06-01,480,35,Planned Maintenance,1329,66
520,2,2024-06-02,480,5,Operator Break,1385,62
521,2,2024-06-03,480,33,Operator Break,1211,82
522,2,2024-06-04,480,1,Changeover,1354,75
523,2,2024-06-05,480,16,Operator Break,1188,85
524,2,2024-06-06,480,37,Planned Maintenance,1147,39
525,2,2024-06-07,480,0,Unspecified,1361,88
526,2,2024-06-08,480,15,Planned Maintenance,1208,62
527,2,2024-06-09,480,17,Mechanical Failure,1274,110
528,2,2024-06-10,480,2,Operator Break,1370,72
